date,playgroup_num,playgroup_name,num_victories,num_losses,num_deaths,level
2021-03-15 03:46:55.126873+00:00,32,Project *******,4,2,0,Any
2021-03-16 01:54:30.297681+00:00,13,Maelstrom,4,0,0,Novice
2021-03-17 02:46:36.807310+00:00,20,The Mythos,1,0,1,Any
2021-03-19 00:41:56.751091+00:00,13,Maelstrom,4,0,0,Newbie
2021-03-19 02:54:54.042501+00:00,34,The Lights Went Out,2,0,0,Novice
2021-03-20 23:09:25.532702+00:00,13,Maelstrom,2,0,0,Any
2021-03-21 01:20:53.076053+00:00,41,2000s Kids Club,2,0,0,Any
2021-03-21 04:26:56.037687+00:00,13,Maelstrom,5,0,0,Novice
2021-03-21 20:06:35.846300+00:00,43,Failure To Reach Valhalla,3,0,0,Novice
2021-03-23 03:57:25.455066+00:00,28,Dark Mirror,0,5,0,Any
2021-03-25 04:53:35.265102+00:00,13,Maelstrom,0,1,3,Novice
2021-03-25 23:08:40.756260+00:00,35,.,6,1,0,Newbie
2021-03-27 01:42:00+00:00,32,Project *******,2,1,1,Any
2021-03-27 04:56:38.955491+00:00,46,Earth42,5,0,0,Novice
2021-03-28 03:37:58.715085+00:00,13,Maelstrom,3,1,0,Any
2021-03-28 04:43:28.688513+00:00,48,The Conflict,6,0,0,Any
2021-03-28 05:13:55.331548+00:00,13,Maelstrom,2,0,0,Newbie
2021-03-29 01:55:13.628309+00:00,32,Project *******,5,0,1,Any
2021-03-30 07:01:55.714411+00:00,32,Project *******,5,0,0,Any
2021-03-31 02:44:09.898181+00:00,32,Project *******,3,1,1,Newbie
2021-04-01 04:13:22.217618+00:00,13,Maelstrom,6,0,0,Novice
2021-04-02 05:36:26.594951+00:00,26,The Buisness,4,0,1,Any
2021-04-03 01:24:54.847066+00:00,13,Maelstrom,5,0,0,Any
2021-04-03 06:33:45.194013+00:00,13,Maelstrom,4,0,2,Novice
2021-04-03 15:32:14.057454+00:00,20,The Mythos,2,0,0,Any
2021-04-03 18:42:29.827286+00:00,43,Failure To Reach Valhalla,5,0,0,Any
2021-04-04 01:48:00.873424+00:00,32,Project *******,6,0,0,Newbie
2021-04-04 01:59:51.929637+00:00,13,Maelstrom,1,4,0,Any
2021-04-04 04:47:21.822861+00:00,46,Earth42,3,0,1,Novice
2021-04-04 21:31:44.088998+00:00,43,Failure To Reach Valhalla,4,0,0,Any
2021-04-05 00:18:46.480064+00:00,26,The Buisness,3,0,0,Novice
2021-04-05 00:29:25.232528+00:00,43,Failure To Reach Valhalla,4,0,0,Any
2021-04-05 19:13:20.372066+00:00,44,Aerolyrd,4,0,0,Any
2021-04-06 05:17:28.256935+00:00,28,Dark Mirror,0,5,0,Novice
2021-04-07 19:56:00+00:00,20,The Mythos,0,0,0,Seasoned
2021-04-08 04:10:27.245310+00:00,32,Project *******,3,1,1,Any
2021-04-08 18:58:46.098241+00:00,20,The Mythos,2,0,0,Any
2021-04-08 23:01:30.110356+00:00,35,.,3,0,0,Any
2021-04-09 06:37:37.668349+00:00,36,Xenos,5,0,0,Any
2021-04-09 14:56:55.748497+00:00,20,The Mythos,1,1,0,Any
2021-04-10 01:20:18.731599+00:00,63,Discord,3,0,0,Any
2021-04-10 02:46:06.855004+00:00,13,Maelstrom,3,0,0,Any
2021-04-10 23:47:37.099230+00:00,13,Maelstrom,0,3,0,Any
2021-04-11 02:05:14.640207+00:00,32,Project *******,5,0,1,Any
2021-04-12 00:35:24.899275+00:00,22,Blanche,3,1,0,Any
2021-04-12 14:32:18.686440+00:00,20,The Mythos,2,0,0,Novice
2021-04-12 22:11:12.462089+00:00,20,The Mythos,2,0,0,Any
2021-04-12 23:45:33.450664+00:00,44,Aerolyrd,4,0,0,Any
2021-04-13 03:55:30.311820+00:00,13,Maelstrom,4,0,0,Any
2021-04-13 04:36:22.195401+00:00,35,.,3,0,0,Any
2021-04-13 18:59:51.880557+00:00,20,The Mythos,2,0,0,Any
2021-04-14 03:39:30.918265+00:00,28,Dark Mirror,0,4,0,Novice
2021-04-17 01:02:00+00:00,46,Earth42,5,0,0,Novice
2021-04-17 01:11:47.086313+00:00,32,Project *******,1,4,1,Any
2021-04-17 23:06:23.239177+00:00,13,Maelstrom,4,0,0,Any
2021-04-18 01:41:41.865781+00:00,28,Dark Mirror,0,3,0,Novice
2021-04-19 01:14:49.991107+00:00,32,Project *******,4,0,0,Newbie
2021-04-20 05:28:00+00:00,36,Xenos,5,0,0,Novice
2021-04-21 01:54:03.469341+00:00,28,Dark Mirror,4,0,0,Novice
2021-04-24 07:48:04.496879+00:00,13,Maelstrom,3,0,0,Any
2021-04-24 20:37:06.655615+00:00,13,Maelstrom,5,0,0,Any
2021-04-25 01:33:06.145691+00:00,13,Maelstrom,6,0,0,Novice
2021-04-25 15:16:34.336672+00:00,35,.,5,1,2,Any
2021-04-26 01:35:21.765893+00:00,32,Project *******,5,0,0,Any
2021-04-27 20:49:40.511300+00:00,13,Maelstrom,6,0,0,Novice
2021-04-28 02:06:53.339224+00:00,13,Maelstrom,2,1,0,Any
2021-04-28 02:27:21.298691+00:00,13,Maelstrom,5,0,0,Novice
2021-04-29 04:01:37.332016+00:00,46,Earth42,3,1,0,Novice
2021-05-01 02:27:46.267270+00:00,71,World of Darkness,4,0,1,Any
2021-05-02 04:15:05.222732+00:00,46,Earth42,6,0,1,Novice
2021-05-02 18:46:57.126774+00:00,13,Maelstrom,0,2,1,Novice
2021-05-03 02:57:55.399436+00:00,13,Maelstrom,3,0,0,Any
2021-05-04 04:28:22.264781+00:00,13,Maelstrom,3,0,0,Any
2021-05-06 22:09:03.547074+00:00,13,Maelstrom,3,0,0,Any
2021-05-08 17:56:44.444529+00:00,73,Age of Expansion,2,0,0,Newbie
2021-05-09 01:31:45.732885+00:00,26,The Buisness,4,0,0,Novice
2021-05-10 00:40:36.784223+00:00,28,Dark Mirror,0,3,0,Novice
2021-05-10 19:42:00+00:00,13,Maelstrom,3,0,2,Any
2021-05-12 02:02:00+00:00,23,The New Columbia Minerals Group LLC,4,3,0,Any
2021-05-13 12:41:03.359806+00:00,13,Maelstrom,4,0,0,Any
2021-05-14 05:08:29.817240+00:00,28,Dark Mirror,4,0,0,Novice
2021-05-15 04:28:43.140531+00:00,13,Maelstrom,0,1,2,Novice
2021-05-19 04:34:01.758384+00:00,28,Dark Mirror,4,0,0,Any
2021-05-19 23:35:00+00:00,36,Xenos,2,1,1,Any
2021-05-20 04:52:11.908513+00:00,13,Maelstrom,6,0,0,Any
2021-05-21 04:33:00+00:00,81,Earth,5,0,0,Any
2021-05-22 03:14:15.258718+00:00,46,Earth42,3,0,0,Any
2021-05-22 17:28:40.809964+00:00,73,Age of Expansion,0,2,1,Any
2021-05-22 20:09:33.625343+00:00,75,Darkwood,4,0,0,Any
2021-05-23 21:24:00+00:00,13,Maelstrom,3,0,0,Novice
2021-05-24 01:15:11.201630+00:00,1,NC Reborn,3,0,0,Any
2021-05-24 01:48:28.444349+00:00,13,Maelstrom,3,0,0,Newbie
2021-05-25 21:24:40.518237+00:00,13,Maelstrom,5,0,1,Novice
2021-05-26 23:44:18.115515+00:00,13,Maelstrom,1,3,0,Any
2021-05-27 04:41:27.149528+00:00,26,The Buisness,4,0,0,Any
2021-05-28 03:17:27.929612+00:00,13,Maelstrom,5,0,0,Any
2021-05-29 02:15:00+00:00,30,Pilos,4,0,0,Any
2021-05-29 21:20:16.612332+00:00,13,Maelstrom,3,0,0,Novice
2021-05-30 21:40:00+00:00,84,The Time War,0,0,0,Any
2021-05-31 01:28:16.275032+00:00,84,The Time War,2,0,1,Newbie or Novice
2021-05-31 21:48:00+00:00,28,Dark Mirror,4,0,0,Newbie or Novice
2021-06-01 20:42:31.948966+00:00,20,The Mythos,1,0,1,Any
2021-06-02 03:39:39.597192+00:00,54,Circle of Fate,4,0,0,Newbie or Novice
2021-06-03 00:48:33.140314+00:00,44,Aerolyrd,1,0,1,Any
2021-06-03 02:02:00+00:00,23,The New Columbia Minerals Group LLC,7,0,0,Any
2021-06-05 20:52:03.618838+00:00,91,Happy marshmallow pony hug land,0,4,0,Newbie or Novice
2021-06-06 04:20:45.469599+00:00,13,Maelstrom,5,0,0,Newbie or Novice
2021-06-06 20:08:22.659329+00:00,20,The Mythos,3,0,0,Any
2021-06-06 23:34:02.745046+00:00,85,Diverwyn,4,0,0,Newbie or Novice
2021-06-08 07:20:07.727431+00:00,13,Maelstrom,2,0,1,Any
2021-06-09 00:34:11.669238+00:00,38,The Netherworld,4,0,0,Newbie or Novice
2021-06-09 04:18:00+00:00,13,Maelstrom,3,0,0,Newbie or Novice
2021-06-10 02:50:39.462558+00:00,78,Hunters world,5,0,0,Newbie or Novice
2021-06-11 01:00:00+00:00,13,Maelstrom,4,0,0,Newbie or Novice
2021-06-12 03:14:07.882693+00:00,28,Dark Mirror,4,0,0,Any
2021-06-13 03:25:00+00:00,80,Realm of mysteries,3,0,0,Newbie or Novice
2021-06-13 19:24:42.416702+00:00,13,Maelstrom,3,0,0,Newbie or Novice
2021-06-14 04:34:02.689695+00:00,32,Project *******,0,3,0,Any
2021-06-15 03:00:46.190157+00:00,38,The Netherworld,1,2,0,Any
2021-06-15 03:51:09.496941+00:00,85,Diverwyn,3,0,0,Any
2021-06-16 06:20:06.070759+00:00,89,The Tattered Curtain,4,0,0,Any
2021-06-17 03:06:55.766250+00:00,13,Maelstrom,1,1,1,Newbie or Novice
2021-06-17 19:21:42.509299+00:00,89,The Tattered Curtain,3,0,0,Newbie or Novice
2021-06-19 03:06:11.680825+00:00,89,The Tattered Curtain,2,0,0,Novice
2021-06-21 00:53:51.842013+00:00,80,Realm of mysteries,4,0,1,Any
2021-06-22 05:12:27.514109+00:00,13,Maelstrom,2,0,0,Any
2021-06-22 17:46:15.874224+00:00,85,Diverwyn,2,0,0,Any
2021-06-24 02:11:43.399370+00:00,32,Project *******,3,2,0,Newbie or Novice
2021-06-26 22:56:47.858591+00:00,32,Project *******,1,4,1,Any
2021-06-27 20:05:17.331797+00:00,13,Maelstrom,4,0,0,Any
2021-06-28 00:54:00+00:00,89,The Tattered Curtain,6,0,0,Any
2021-06-28 19:27:35.745853+00:00,80,Realm of mysteries,5,0,0,Any
2021-06-28 20:47:27.622498+00:00,89,The Tattered Curtain,5,0,0,Newbie
2021-06-30 05:11:10.680856+00:00,32,Project *******,4,0,0,Any
2021-07-01 18:57:26.851806+00:00,50,The World's End Society,5,0,0,Newbie or Novice
2021-07-02 20:35:00+00:00,91,Happy marshmallow pony hug land,4,0,0,Any
2021-07-03 23:54:42.628769+00:00,85,Diverwyn,5,0,0,Newbie or Novice
2021-07-04 05:34:00+00:00,46,Earth42,5,0,0,Any
2021-07-05 22:54:13.793602+00:00,80,Realm of mysteries,5,0,1,Any
2021-07-06 22:25:28.894624+00:00,13,Maelstrom,4,0,1,Newbie or Novice
2021-07-08 04:16:00+00:00,32,Project *******,4,0,0,Newbie or Novice
2021-07-08 18:02:46.336605+00:00,75,Darkwood,5,0,0,Newbie or Novice
2021-07-09 03:34:07.371662+00:00,13,Maelstrom,3,0,0,Newbie or Novice
